Регион;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
Миллерово;3107;1104;0.3553266816865143;1;3;1;3707;3;1104
Красное Село;2468;438;0.1774716369529984;1;4;1;3018;4;438
Серебряные Пруды (Серебряно-Прудский район);993;307;0.30916414904330314;1;8;1;1042;8;307
Азов;9288;1916;0.2062876830318691;2;13;1;5594;6;1916
Аксай;15739;2151;0.13666687845479383;2;2;2;8594;1;1076
Уссурийск;17990;1145;0.06364647026125625;4;20;4;4920;5;286
1 Мая (Балашихинский район);198;75;0.3787878787878788;1;2;1;2347;2;75
Мильково (Ленинский район);6022;1557;0.2585519760876785;2;4;2;3161;2;778
Нефтеюганск;8965;1009;0.11254880089235918;3;8;3;4072;3;336
Новоорск;8543;1416;0.16574973662647782;2;8;1;5872;4;1416
Сызрань;22865;6128;0.268007872293899;3;7;3;8638;2;2043
Куровское (Орехово-Зуевский район);30505;4252;0.13938698574004263;4;47;4;7725;12;1063
Салават;26767;2562;0.0957148727911234;3;3;3;9856;1;854
Каспийск;12450;6465;0.519277108433735;1;1;1;14950;1;6465
Каменск-Шахтинский;6559;1416;0.2158865680744016;2;7;2;3880;4;708
Тимашёвск;1800;185;0.10277777777777777;1;1;1;2350;1;185
Балашов;19906;4207;0.21134331357379685;2;4;2;11348;2;2104
Тихорецк;4139;523;0.12635902391882098;1;4;1;4889;4;523
Павловская (Краснодарский край);4219;502;0.11898554159753497;1;3;1;4819;3;502
Озеры (Озерский район);6638;848;0.12774932208496534;2;3;2;3688;2;424
Гжель (Раменский район);2248;782;0.34786476868327404;2;3;1;1173;2;782
Румянцево (Истринский район);17481;2747;0.15714203992906584;8;39;3;2651;5;916
Апшеронск;5049;616;0.12200435729847495;1;3;1;5799;3;616
Армавир;5196;622;0.11970746728252502;2;2;2;3148;1;311
Андреевка (Солнечногорский район);6070;835;0.13756177924217464;2;4;2;3060;2;418
Булатниково (Ленинский район);32004;3463;0.10820522434695663;3;62;2;11113;21;1732
Белоярский;26434;232;0.008776575622304607;1;14;1;13347;14;232
